资产名,容器路径,字节,KB
T_CardPortrait_Enemy_Ch1_Goat,../../../GameXXK/Content/GameXXK/UI/Battle/EnemyCardArt/T_CardPortrait_Enemy_Ch1_Goat.uasset,44878,43.8
T_CardPortrait_Enemy_Ch3_Vulture,../../../GameXXK/Content/GameXXK/UI/Battle/EnemyCardArt/T_CardPortrait_Enemy_Ch3_Vulture.uasset,41894,40.9
T_CardPortrait_Role_Sorcerer,../../../GameXXK/Content/GameXXK/UI/PartyDeck/CardArt/T_CardPortrait_Role_Sorcerer.uasset,40951,40.0
T_CardPortrait_Hero,../../../GameXXK/Content/GameXXK/UI/PartyDeck/CardArt/T_CardPortrait_Hero.uasset,40949,40.0
T_CardPortrait_Npc_JinGui,../../../GameXXK/Content/GameXXK/UI/PartyDeck/CardArt/T_CardPortrait_Npc_JinGui.uasset,40139,39.2
T_CardPortrait_Enemy_Ch2_GraymaneWolfKing,../../../GameXXK/Content/GameXXK/UI/Battle/EnemyCardArt/T_CardPortrait_Enemy_Ch2_GraymaneWolfKing.uasset,38956,38.0
T_CardPortrait_Enemy_Ch1_Rooster,../../../GameXXK/Content/GameXXK/UI/Battle/EnemyCardArt/T_CardPortrait_Enemy_Ch1_Rooster.uasset,38621,37.7
T_CardPortrait_Npc_SongJinBao,../../../GameXXK/Content/GameXXK/UI/PartyDeck/CardArt/T_CardPortrait_Npc_SongJinBao.uasset,38513,37.6
T_CardPortrait_Npc_YueBai,../../../GameXXK/Content/GameXXK/UI/PartyDeck/CardArt/T_CardPortrait_Npc_YueBai.uasset,38157,37.3
T_CardPortrait_Role_Hunter,../../../GameXXK/Content/GameXXK/UI/PartyDeck/CardArt/T_CardPortrait_Role_Hunter.uasset,37442,36.6
T_CardPortrait_Enemy_Ch2_RedtuskBoarKing,../../../GameXXK/Content/GameXXK/UI/Battle/EnemyCardArt/T_CardPortrait_Enemy_Ch2_RedtuskBoarKing.uasset,36188,35.3
T_CardPortrait_Route_Rare,../../../GameXXK/Content/GameXXK/UI/PartyDeck/CardArt/T_CardPortrait_Route_Rare.uasset,34561,33.8
T_CardPortrait_Route_Terrain,../../../GameXXK/Content/GameXXK/UI/PartyDeck/CardArt/T_CardPortrait_Route_Terrain.uasset,34247,33.4
T_CardPortrait_Npc_QiongMeiEr,../../../GameXXK/Content/GameXXK/UI/PartyDeck/CardArt/T_CardPortrait_Npc_QiongMeiEr.uasset,33777,33.0
T_CardPortrait_Enemy_Ch2_Boar,../../../GameXXK/Content/GameXXK/UI/Battle/EnemyCardArt/T_CardPortrait_Enemy_Ch2_Boar.uasset,32105,31.4
T_CardPortrait_Role_Blade,../../../GameXXK/Content/GameXXK/UI/PartyDeck/CardArt/T_CardPortrait_Role_Blade.uasset,31058,30.3
T_CardPortrait_Enemy_Ch1_Weasel,../../../GameXXK/Content/GameXXK/UI/Battle/EnemyCardArt/T_CardPortrait_Enemy_Ch1_Weasel.uasset,30378,29.7
T_CardPortrait_Enemy_Ch3_GiantToad,../../../GameXXK/Content/GameXXK/UI/Battle/EnemyCardArt/T_CardPortrait_Enemy_Ch3_GiantToad.uasset,29509,28.8
T_CardPortrait_Enemy_Ch3_Wildcat,../../../GameXXK/Content/GameXXK/UI/Battle/EnemyCardArt/T_CardPortrait_Enemy_Ch3_Wildcat.uasset,28148,27.5
T_CardPortrait_Route_General,../../../GameXXK/Content/GameXXK/UI/PartyDeck/CardArt/T_CardPortrait_Route_General.uasset,26600,26.0
T_CardPortrait_Enemy_Ch2_GrayWolf,../../../GameXXK/Content/GameXXK/UI/Battle/EnemyCardArt/T_CardPortrait_Enemy_Ch2_GrayWolf.uasset,25011,24.4
T_CardPortrait_Enemy_Ch3_SpiralHornDeer,../../../GameXXK/Content/GameXXK/UI/Battle/EnemyCardArt/T_CardPortrait_Enemy_Ch3_SpiralHornDeer.uasset,24531,24.0
T_MasterV2_CardLockedIcon,../../../GameXXK/Content/GameXXK/UI/MasterV2/Approved/T_MasterV2_CardLockedIcon.uasset,11451,11.2
M_CardNameFlow,../../../GameXXK/Content/GameXXK/UI/Materials/CardNameFlow/M_CardNameFlow.uasset,3498,3.4
M_CardPortraitRoundedMask,../../../GameXXK/Content/GameXXK/UI/Materials/CardPortrait/M_CardPortraitRoundedMask.uasset,3165,3.1
MI_CardNameRareOutline,../../../GameXXK/Content/GameXXK/UI/Materials/CardNameFlow/MI_CardNameRareOutline.uasset,920,0.9
MI_CardNameEpicOutline,../../../GameXXK/Content/GameXXK/UI/Materials/CardNameFlow/MI_CardNameEpicOutline.uasset,920,0.9
MI_CardNameRareFill,../../../GameXXK/Content/GameXXK/UI/Materials/CardNameFlow/MI_CardNameRareFill.uasset,912,0.9
MI_CardNameEpicFill,../../../GameXXK/Content/GameXXK/UI/Materials/CardNameFlow/MI_CardNameEpicFill.uasset,912,0.9
MI_CardFrameRare,../../../GameXXK/Content/GameXXK/UI/Materials/CardNameFlow/MI_CardFrameRare.uasset,794,0.8
MI_CardFrameEpic,../../../GameXXK/Content/GameXXK/UI/Materials/CardNameFlow/MI_CardFrameEpic.uasset,794,0.8
